Files already downloaded and verified
Files already downloaded and verified
loading model...
start training from epoch 100 ...
epoch: 0	train loss: 2.56626		test accuracy: 10.00%
epoch: 1	train loss: 2.16779		test accuracy: 28.62%
epoch: 2	train loss: 1.55795		test accuracy: 45.23%
epoch: 3	train loss: 1.17717		test accuracy: 50.46%
epoch: 4	train loss: 0.96335		test accuracy: 61.07%
epoch: 5	train loss: 0.85561		test accuracy: 53.58%
epoch: 6	train loss: 0.80045		test accuracy: 54.50%
epoch: 7	train loss: 0.77418		test accuracy: 60.02%
epoch: 8	train loss: 0.75196		test accuracy: 56.90%
epoch: 9	train loss: 0.73904		test accuracy: 64.97%
epoch: 10	train loss: 0.71732		test accuracy: 68.51%
epoch: 11	train loss: 0.71086		test accuracy: 64.34%
epoch: 12	train loss: 0.70787		test accuracy: 68.41%
epoch: 13	train loss: 0.70337		test accuracy: 58.97%
epoch: 14	train loss: 0.69783		test accuracy: 71.30%
epoch: 15	train loss: 0.69888		test accuracy: 60.87%
epoch: 16	train loss: 0.69126		test accuracy: 66.28%
epoch: 17	train loss: 0.68892		test accuracy: 67.50%
epoch: 18	train loss: 0.68357		test accuracy: 64.31%
epoch: 19	train loss: 0.68327		test accuracy: 59.14%
epoch: 20	train loss: 0.67254		test accuracy: 51.38%
epoch: 21	train loss: 0.68053		test accuracy: 60.04%
epoch: 22	train loss: 0.67831		test accuracy: 53.02%
epoch: 23	train loss: 0.67522		test accuracy: 56.20%
epoch: 24	train loss: 0.66966		test accuracy: 66.71%
epoch: 25	train loss: 0.67253		test accuracy: 67.69%
epoch: 26	train loss: 0.66961		test accuracy: 65.68%
epoch: 27	train loss: 0.66158		test accuracy: 45.72%
epoch: 28	train loss: 0.66658		test accuracy: 66.15%
epoch: 29	train loss: 0.66230		test accuracy: 66.82%
epoch: 30	train loss: 0.65297		test accuracy: 67.88%
epoch: 31	train loss: 0.66119		test accuracy: 44.20%
epoch: 32	train loss: 0.65753		test accuracy: 65.96%
epoch: 33	train loss: 0.65376		test accuracy: 69.90%
epoch: 34	train loss: 0.65818		test accuracy: 70.32%
epoch: 35	train loss: 0.66192		test accuracy: 61.15%
epoch: 36	train loss: 0.65424		test accuracy: 54.79%
epoch: 37	train loss: 0.64710		test accuracy: 55.71%
epoch: 38	train loss: 0.64065		test accuracy: 70.48%
epoch: 39	train loss: 0.65549		test accuracy: 59.76%
epoch: 40	train loss: 0.64177		test accuracy: 58.80%
