Files already downloaded and verified
Files already downloaded and verified
start training from epoch 0 ...
epoch: 0	train loss: 1.64009		test accuracy: 50.91%
epoch: 1	train loss: 1.11596		test accuracy: 65.68%
epoch: 2	train loss: 0.85750		test accuracy: 69.67%
epoch: 3	train loss: 0.69074		test accuracy: 71.32%
epoch: 4	train loss: 0.56386		test accuracy: 79.03%
epoch: 5	train loss: 0.47770		test accuracy: 79.05%
epoch: 6	train loss: 0.41625		test accuracy: 77.38%
epoch: 7	train loss: 0.37198		test accuracy: 78.90%
epoch: 8	train loss: 0.33087		test accuracy: 79.46%
epoch: 9	train loss: 0.30427		test accuracy: 76.29%
epoch: 10	train loss: 0.28324		test accuracy: 77.45%
epoch: 11	train loss: 0.25329		test accuracy: 79.63%
epoch: 12	train loss: 0.24391		test accuracy: 79.45%
epoch: 13	train loss: 0.22929		test accuracy: 80.89%
epoch: 14	train loss: 0.21679		test accuracy: 79.64%
epoch: 15	train loss: 0.21340		test accuracy: 81.38%
epoch: 16	train loss: 0.20848		test accuracy: 78.50%
epoch: 17	train loss: 0.19961		test accuracy: 81.08%
epoch: 18	train loss: 0.19091		test accuracy: 81.16%
epoch: 19	train loss: 0.19628		test accuracy: 78.97%
epoch: 20	train loss: 0.19130		test accuracy: 80.34%
epoch: 21	train loss: 0.18145		test accuracy: 79.12%
epoch: 22	train loss: 0.18422		test accuracy: 80.18%
epoch: 23	train loss: 0.17490		test accuracy: 80.25%
epoch: 24	train loss: 0.17385		test accuracy: 80.08%
epoch: 25	train loss: 0.16780		test accuracy: 80.82%
epoch: 26	train loss: 0.17461		test accuracy: 80.02%
epoch: 27	train loss: 0.16688		test accuracy: 79.65%
epoch: 28	train loss: 0.17084		test accuracy: 78.21%
epoch: 29	train loss: 0.16366		test accuracy: 81.07%
epoch: 30	train loss: 0.17201		test accuracy: 81.66%
epoch: 31	train loss: 0.15678		test accuracy: 79.46%
epoch: 32	train loss: 0.15581		test accuracy: 82.03%
epoch: 33	train loss: 0.15900		test accuracy: 80.81%
epoch: 34	train loss: 0.15857		test accuracy: 80.94%
epoch: 35	train loss: 0.15559		test accuracy: 82.43%
epoch: 36	train loss: 0.15687		test accuracy: 80.36%
epoch: 37	train loss: 0.14964		test accuracy: 81.67%
epoch: 38	train loss: 0.14980		test accuracy: 82.54%
epoch: 39	train loss: 0.14781		test accuracy: 80.45%
epoch: 40	train loss: 0.15437		test accuracy: 82.19%
epoch: 41	train loss: 0.14902		test accuracy: 82.25%
epoch: 42	train loss: 0.14715		test accuracy: 79.63%
epoch: 43	train loss: 0.13910		test accuracy: 80.30%
epoch: 44	train loss: 0.13911		test accuracy: 79.26%
epoch: 45	train loss: 0.15173		test accuracy: 83.32%
epoch: 46	train loss: 0.14174		test accuracy: 79.81%
epoch: 47	train loss: 0.14317		test accuracy: 81.61%
epoch: 48	train loss: 0.14290		test accuracy: 82.27%
epoch: 49	train loss: 0.13257		test accuracy: 81.78%
epoch: 50	train loss: 0.13296		test accuracy: 80.10%
epoch: 51	train loss: 0.13461		test accuracy: 82.43%
epoch: 52	train loss: 0.13498		test accuracy: 83.07%
epoch: 53	train loss: 0.12823		test accuracy: 80.06%
epoch: 54	train loss: 0.13588		test accuracy: 80.20%
epoch: 55	train loss: 0.12368		test accuracy: 78.79%
epoch: 56	train loss: 0.13568		test accuracy: 77.90%
epoch: 57	train loss: 0.12537		test accuracy: 83.26%
epoch: 58	train loss: 0.11633		test accuracy: 81.35%
epoch: 59	train loss: 0.12401		test accuracy: 81.46%
epoch: 60	train loss: 0.12492		test accuracy: 82.36%
epoch: 61	train loss: 0.12709		test accuracy: 82.22%
epoch: 62	train loss: 0.11589		test accuracy: 82.88%
epoch: 63	train loss: 0.11611		test accuracy: 80.59%
epoch: 64	train loss: 0.11641		test accuracy: 80.91%
epoch: 65	train loss: 0.11805		test accuracy: 83.71%
epoch: 66	train loss: 0.11587		test accuracy: 83.29%
epoch: 67	train loss: 0.12061		test accuracy: 82.62%
epoch: 68	train loss: 0.10451		test accuracy: 82.39%
epoch: 69	train loss: 0.11202		test accuracy: 79.91%
epoch: 70	train loss: 0.10558		test accuracy: 81.60%
epoch: 71	train loss: 0.10644		test accuracy: 83.08%
epoch: 72	train loss: 0.10745		test accuracy: 80.36%
epoch: 73	train loss: 0.10848		test accuracy: 81.25%
epoch: 74	train loss: 0.10100		test accuracy: 81.38%
epoch: 75	train loss: 0.09511		test accuracy: 82.11%
epoch: 76	train loss: 0.10193		test accuracy: 83.41%
epoch: 77	train loss: 0.10316		test accuracy: 81.35%
epoch: 78	train loss: 0.09573		test accuracy: 83.29%
epoch: 79	train loss: 0.09480		test accuracy: 82.74%
epoch: 80	train loss: 0.10344		test accuracy: 81.72%
epoch: 81	train loss: 0.09303		test accuracy: 80.82%
epoch: 82	train loss: 0.08199		test accuracy: 82.12%
epoch: 83	train loss: 0.09210		test accuracy: 81.65%
epoch: 84	train loss: 0.08047		test accuracy: 82.33%
epoch: 85	train loss: 0.09376		test accuracy: 83.56%
epoch: 86	train loss: 0.09119		test accuracy: 80.21%
epoch: 87	train loss: 0.07991		test accuracy: 83.93%
epoch: 88	train loss: 0.08789		test accuracy: 82.74%
epoch: 89	train loss: 0.07768		test accuracy: 81.68%
epoch: 90	train loss: 0.08494		test accuracy: 81.98%
epoch: 91	train loss: 0.07215		test accuracy: 82.17%
epoch: 92	train loss: 0.07781		test accuracy: 83.00%
epoch: 93	train loss: 0.06574		test accuracy: 83.42%
epoch: 94	train loss: 0.08559		test accuracy: 82.73%
epoch: 95	train loss: 0.07394		test accuracy: 83.73%
epoch: 96	train loss: 0.07542		test accuracy: 82.91%
epoch: 97	train loss: 0.06646		test accuracy: 81.44%
epoch: 98	train loss: 0.07148		test accuracy: 82.33%
epoch: 99	train loss: 0.06428		test accuracy: 83.78%
epoch: 100	train loss: 0.06640		test accuracy: 83.12%
epoch: 101	train loss: 0.06085		test accuracy: 83.09%
epoch: 102	train loss: 0.07023		test accuracy: 83.96%
epoch: 103	train loss: 0.05307		test accuracy: 84.44%
epoch: 104	train loss: 0.05449		test accuracy: 84.92%
epoch: 105	train loss: 0.05412		test accuracy: 82.64%
epoch: 106	train loss: 0.07005		test accuracy: 81.51%
epoch: 107	train loss: 0.05467		test accuracy: 83.21%
epoch: 108	train loss: 0.05166		test accuracy: 83.70%
epoch: 109	train loss: 0.05384		test accuracy: 85.51%
epoch: 110	train loss: 0.03451		test accuracy: 84.86%
epoch: 111	train loss: 0.05696		test accuracy: 82.45%
epoch: 112	train loss: 0.05947		test accuracy: 83.07%
epoch: 113	train loss: 0.05167		test accuracy: 85.11%
epoch: 114	train loss: 0.05068		test accuracy: 83.84%
epoch: 115	train loss: 0.02746		test accuracy: 84.89%
epoch: 116	train loss: 0.02254		test accuracy: 86.02%
epoch: 117	train loss: 0.02155		test accuracy: 84.83%
epoch: 118	train loss: 0.06883		test accuracy: 82.19%
epoch: 119	train loss: 0.05942		test accuracy: 82.49%
epoch: 120	train loss: 0.04304		test accuracy: 84.78%
epoch: 121	train loss: 0.03072		test accuracy: 83.93%
epoch: 122	train loss: 0.03107		test accuracy: 85.70%
epoch: 123	train loss: 0.03594		test accuracy: 85.31%
epoch: 124	train loss: 0.02796		test accuracy: 85.62%
epoch: 125	train loss: 0.02803		test accuracy: 84.61%
epoch: 126	train loss: 0.03508		test accuracy: 83.25%
epoch: 127	train loss: 0.03123		test accuracy: 85.37%
epoch: 128	train loss: 0.02661		test accuracy: 86.14%
epoch: 129	train loss: 0.01690		test accuracy: 86.22%
epoch: 130	train loss: 0.00986		test accuracy: 86.82%
epoch: 131	train loss: 0.00480		test accuracy: 87.71%
epoch: 132	train loss: 0.00258		test accuracy: 88.79%
epoch: 133	train loss: 0.00144		test accuracy: 89.12%
epoch: 134	train loss: 0.00155		test accuracy: 89.36%
epoch: 135	train loss: 0.00169		test accuracy: 89.21%
epoch: 136	train loss: 0.00179		test accuracy: 89.24%
epoch: 137	train loss: 0.00190		test accuracy: 89.34%
epoch: 138	train loss: 0.00219		test accuracy: 89.49%
epoch: 139	train loss: 0.00198		test accuracy: 89.43%
epoch: 140	train loss: 0.00196		test accuracy: 89.59%
epoch: 141	train loss: 0.00197		test accuracy: 89.65%
epoch: 142	train loss: 0.00197		test accuracy: 89.74%
epoch: 143	train loss: 0.00197		test accuracy: 89.70%
epoch: 144	train loss: 0.00196		test accuracy: 89.56%
epoch: 145	train loss: 0.00199		test accuracy: 89.52%
epoch: 146	train loss: 0.00196		test accuracy: 89.71%
epoch: 147	train loss: 0.00196		test accuracy: 89.64%
epoch: 148	train loss: 0.00197		test accuracy: 89.65%
epoch: 149	train loss: 0.00194		test accuracy: 89.67%
epoch: 150	train loss: 0.00196		test accuracy: 89.74%
epoch: 151	train loss: 0.00195		test accuracy: 89.50%
epoch: 152	train loss: 0.00193		test accuracy: 89.75%
epoch: 153	train loss: 0.00191		test accuracy: 89.82%
epoch: 154	train loss: 0.00194		test accuracy: 89.79%
epoch: 155	train loss: 0.00195		test accuracy: 89.72%
epoch: 156	train loss: 0.00195		test accuracy: 89.78%
epoch: 157	train loss: 0.00191		test accuracy: 89.96%
