Files already downloaded and verified
Files already downloaded and verified
start training from epoch 0 ...
epoch: 0	train loss: 1.83422		test accuracy: 44.28%
epoch: 1	train loss: 1.24721		test accuracy: 54.60%
epoch: 2	train loss: 0.95805		test accuracy: 66.62%
epoch: 3	train loss: 0.77924		test accuracy: 69.54%
epoch: 4	train loss: 0.63451		test accuracy: 74.74%
epoch: 5	train loss: 0.53524		test accuracy: 74.92%
epoch: 6	train loss: 0.45445		test accuracy: 76.43%
epoch: 7	train loss: 0.41093		test accuracy: 75.63%
epoch: 8	train loss: 0.36097		test accuracy: 76.20%
epoch: 9	train loss: 0.32547		test accuracy: 77.87%
epoch: 10	train loss: 0.30226		test accuracy: 78.18%
epoch: 11	train loss: 0.27990		test accuracy: 79.95%
epoch: 12	train loss: 0.25829		test accuracy: 77.97%
epoch: 13	train loss: 0.24201		test accuracy: 78.64%
epoch: 14	train loss: 0.23549		test accuracy: 72.54%
epoch: 15	train loss: 0.22191		test accuracy: 75.50%
epoch: 16	train loss: 0.20801		test accuracy: 80.55%
epoch: 17	train loss: 0.20868		test accuracy: 77.12%
epoch: 18	train loss: 0.19724		test accuracy: 79.91%
epoch: 19	train loss: 0.19946		test accuracy: 79.94%
epoch: 20	train loss: 0.18969		test accuracy: 72.27%
epoch: 21	train loss: 0.19285		test accuracy: 80.12%
epoch: 22	train loss: 0.17476		test accuracy: 81.79%
epoch: 23	train loss: 0.18307		test accuracy: 78.50%
epoch: 24	train loss: 0.18325		test accuracy: 80.71%
epoch: 25	train loss: 0.18499		test accuracy: 81.91%
epoch: 26	train loss: 0.17058		test accuracy: 81.25%
epoch: 27	train loss: 0.17612		test accuracy: 81.15%
epoch: 28	train loss: 0.16666		test accuracy: 78.47%
epoch: 29	train loss: 0.17152		test accuracy: 80.95%
epoch: 30	train loss: 0.16399		test accuracy: 79.71%
epoch: 31	train loss: 0.16465		test accuracy: 79.04%
epoch: 32	train loss: 0.15809		test accuracy: 78.30%
epoch: 33	train loss: 0.16900		test accuracy: 80.56%
epoch: 34	train loss: 0.15751		test accuracy: 77.87%
epoch: 35	train loss: 0.15810		test accuracy: 81.30%
epoch: 36	train loss: 0.15683		test accuracy: 80.80%
epoch: 37	train loss: 0.15611		test accuracy: 81.09%
epoch: 38	train loss: 0.15107		test accuracy: 80.19%
epoch: 39	train loss: 0.14919		test accuracy: 80.59%
epoch: 40	train loss: 0.16266		test accuracy: 76.36%
epoch: 41	train loss: 0.15151		test accuracy: 81.61%
