Files already downloaded and verified
Files already downloaded and verified
loading model...
start training from epoch 169 ...
epoch: 0	train loss: 1.88849		test accuracy: 45.26%
epoch: 1	train loss: 1.30983		test accuracy: 59.53%
epoch: 2	train loss: 1.03409		test accuracy: 65.81%
epoch: 3	train loss: 0.82633		test accuracy: 71.14%
epoch: 4	train loss: 0.67448		test accuracy: 73.19%
epoch: 5	train loss: 0.56151		test accuracy: 74.80%
epoch: 6	train loss: 0.48377		test accuracy: 76.66%
epoch: 7	train loss: 0.41988		test accuracy: 76.88%
epoch: 8	train loss: 0.37371		test accuracy: 77.98%
epoch: 9	train loss: 0.33869		test accuracy: 77.34%
epoch: 10	train loss: 0.30287		test accuracy: 79.57%
epoch: 11	train loss: 0.28711		test accuracy: 79.33%
epoch: 12	train loss: 0.26495		test accuracy: 76.15%
epoch: 13	train loss: 0.24970		test accuracy: 72.74%
epoch: 14	train loss: 0.23137		test accuracy: 70.81%
epoch: 15	train loss: 0.22921		test accuracy: 75.61%
epoch: 16	train loss: 0.21922		test accuracy: 79.92%
epoch: 17	train loss: 0.20769		test accuracy: 80.11%
epoch: 18	train loss: 0.20838		test accuracy: 79.49%
epoch: 19	train loss: 0.19843		test accuracy: 77.00%
epoch: 20	train loss: 0.19957		test accuracy: 78.13%
epoch: 21	train loss: 0.18608		test accuracy: 75.17%
epoch: 22	train loss: 0.18829		test accuracy: 76.40%
epoch: 23	train loss: 0.18504		test accuracy: 80.65%
epoch: 24	train loss: 0.18064		test accuracy: 79.71%
epoch: 25	train loss: 0.17330		test accuracy: 80.25%
epoch: 26	train loss: 0.17931		test accuracy: 79.68%
epoch: 27	train loss: 0.17876		test accuracy: 80.96%
epoch: 28	train loss: 0.16587		test accuracy: 74.01%
epoch: 29	train loss: 0.17014		test accuracy: 81.59%
epoch: 30	train loss: 0.17115		test accuracy: 77.98%
epoch: 31	train loss: 0.16314		test accuracy: 79.15%
epoch: 32	train loss: 0.16373		test accuracy: 80.31%
epoch: 33	train loss: 0.16574		test accuracy: 77.21%
epoch: 34	train loss: 0.15776		test accuracy: 80.20%
epoch: 35	train loss: 0.16219		test accuracy: 79.88%
epoch: 36	train loss: 0.15878		test accuracy: 79.81%
epoch: 37	train loss: 0.16290		test accuracy: 79.68%
epoch: 38	train loss: 0.15756		test accuracy: 79.88%
epoch: 39	train loss: 0.15002		test accuracy: 80.33%
epoch: 40	train loss: 0.15444		test accuracy: 79.38%
epoch: 41	train loss: 0.14908		test accuracy: 76.23%
epoch: 42	train loss: 0.15017		test accuracy: 81.12%
epoch: 43	train loss: 0.14536		test accuracy: 82.02%
epoch: 44	train loss: 0.14079		test accuracy: 75.45%
epoch: 45	train loss: 0.15558		test accuracy: 81.15%
epoch: 46	train loss: 0.13929		test accuracy: 80.72%
epoch: 47	train loss: 0.13808		test accuracy: 80.62%
epoch: 48	train loss: 0.14178		test accuracy: 80.81%
epoch: 49	train loss: 0.13400		test accuracy: 78.34%
epoch: 50	train loss: 0.14208		test accuracy: 80.40%
epoch: 51	train loss: 0.13880		test accuracy: 81.38%
epoch: 52	train loss: 0.12997		test accuracy: 80.21%
epoch: 53	train loss: 0.13220		test accuracy: 76.62%
epoch: 54	train loss: 0.13230		test accuracy: 78.39%
epoch: 55	train loss: 0.12744		test accuracy: 80.23%
epoch: 56	train loss: 0.12015		test accuracy: 80.93%
