Files already downloaded and verified
Files already downloaded and verified
start training from epoch 0 ...
epoch: 0	train loss: 1.92231		test accuracy: 39.95%
epoch: 1	train loss: 1.40149		test accuracy: 54.98%
epoch: 2	train loss: 1.14067		test accuracy: 61.80%
epoch: 3	train loss: 0.94478		test accuracy: 67.49%
epoch: 4	train loss: 0.82474		test accuracy: 72.16%
epoch: 5	train loss: 0.69681		test accuracy: 71.12%
epoch: 6	train loss: 0.61541		test accuracy: 76.41%
epoch: 7	train loss: 0.56398		test accuracy: 73.31%
epoch: 8	train loss: 0.52666		test accuracy: 77.78%
epoch: 9	train loss: 0.51062		test accuracy: 78.88%
epoch: 10	train loss: 0.48744		test accuracy: 78.95%
epoch: 11	train loss: 0.46739		test accuracy: 76.06%
epoch: 12	train loss: 0.45803		test accuracy: 78.07%
epoch: 13	train loss: 0.43982		test accuracy: 80.20%
epoch: 14	train loss: 0.42848		test accuracy: 81.86%
epoch: 15	train loss: 0.42426		test accuracy: 80.75%
epoch: 16	train loss: 0.41321		test accuracy: 79.12%
epoch: 17	train loss: 0.40075		test accuracy: 81.08%
epoch: 18	train loss: 0.39945		test accuracy: 83.54%
epoch: 19	train loss: 0.38697		test accuracy: 84.46%
epoch: 20	train loss: 0.37949		test accuracy: 82.04%
epoch: 21	train loss: 0.38287		test accuracy: 83.19%
epoch: 22	train loss: 0.37568		test accuracy: 74.03%
epoch: 23	train loss: 0.37059		test accuracy: 80.95%
epoch: 24	train loss: 0.36377		test accuracy: 83.24%
epoch: 25	train loss: 0.36114		test accuracy: 81.89%
epoch: 26	train loss: 0.35865		test accuracy: 80.29%
epoch: 27	train loss: 0.36076		test accuracy: 83.54%
epoch: 28	train loss: 0.34526		test accuracy: 84.91%
epoch: 29	train loss: 0.34875		test accuracy: 80.33%
epoch: 30	train loss: 0.34074		test accuracy: 80.00%
epoch: 31	train loss: 0.34774		test accuracy: 81.99%
epoch: 32	train loss: 0.33463		test accuracy: 82.72%
epoch: 33	train loss: 0.33457		test accuracy: 84.30%
epoch: 34	train loss: 0.32818		test accuracy: 84.58%
epoch: 35	train loss: 0.33202		test accuracy: 85.54%
epoch: 36	train loss: 0.33560		test accuracy: 86.26%
epoch: 37	train loss: 0.32794		test accuracy: 83.56%
epoch: 38	train loss: 0.32490		test accuracy: 85.29%
epoch: 39	train loss: 0.31756		test accuracy: 84.22%
epoch: 40	train loss: 0.32338		test accuracy: 86.96%
epoch: 41	train loss: 0.31489		test accuracy: 81.21%
epoch: 42	train loss: 0.31857		test accuracy: 86.06%
epoch: 43	train loss: 0.30891		test accuracy: 84.02%
epoch: 44	train loss: 0.31672		test accuracy: 84.13%
epoch: 45	train loss: 0.30986		test accuracy: 84.90%
epoch: 46	train loss: 0.30724		test accuracy: 82.56%
epoch: 47	train loss: 0.30483		test accuracy: 85.41%
epoch: 48	train loss: 0.30640		test accuracy: 80.35%
epoch: 49	train loss: 0.29934		test accuracy: 83.24%
epoch: 50	train loss: 0.30267		test accuracy: 86.91%
