Files already downloaded and verified
Files already downloaded and verified
start training from epoch 0 ...
epoch: 0	train loss: 1.89532		test accuracy: 45.82%
epoch: 1	train loss: 1.28880		test accuracy: 58.71%
epoch: 2	train loss: 0.97555		test accuracy: 63.83%
epoch: 3	train loss: 0.77083		test accuracy: 71.57%
epoch: 4	train loss: 0.65338		test accuracy: 74.09%
epoch: 5	train loss: 0.58458		test accuracy: 76.80%
epoch: 6	train loss: 0.53328		test accuracy: 72.29%
epoch: 7	train loss: 0.50615		test accuracy: 77.69%
epoch: 8	train loss: 0.47803		test accuracy: 78.37%
epoch: 9	train loss: 0.45747		test accuracy: 75.27%
epoch: 10	train loss: 0.43944		test accuracy: 76.74%
epoch: 11	train loss: 0.42603		test accuracy: 79.15%
epoch: 12	train loss: 0.40656		test accuracy: 80.19%
epoch: 13	train loss: 0.41134		test accuracy: 79.22%
epoch: 14	train loss: 0.39653		test accuracy: 76.81%
epoch: 15	train loss: 0.38718		test accuracy: 74.68%
epoch: 16	train loss: 0.38298		test accuracy: 77.94%
epoch: 17	train loss: 0.37305		test accuracy: 77.75%
epoch: 18	train loss: 0.36648		test accuracy: 78.28%
epoch: 19	train loss: 0.35979		test accuracy: 81.82%
epoch: 20	train loss: 0.35678		test accuracy: 78.57%
epoch: 21	train loss: 0.35305		test accuracy: 80.74%
epoch: 22	train loss: 0.34712		test accuracy: 79.40%
epoch: 23	train loss: 0.34804		test accuracy: 78.97%
epoch: 24	train loss: 0.33806		test accuracy: 80.55%
epoch: 25	train loss: 0.34624		test accuracy: 75.67%
epoch: 26	train loss: 0.33417		test accuracy: 80.40%
epoch: 27	train loss: 0.33438		test accuracy: 77.03%
epoch: 28	train loss: 0.32833		test accuracy: 76.00%
epoch: 29	train loss: 0.32847		test accuracy: 72.07%
epoch: 30	train loss: 0.32278		test accuracy: 71.20%
epoch: 31	train loss: 0.33117		test accuracy: 78.72%
epoch: 32	train loss: 0.31553		test accuracy: 82.72%
epoch: 33	train loss: 0.31725		test accuracy: 80.77%
