Files already downloaded and verified
Files already downloaded and verified
start training from epoch 0 ...
epoch: 0	train loss: 1.92163		test accuracy: 43.56%
epoch: 1	train loss: 1.42329		test accuracy: 48.72%
epoch: 2	train loss: 1.08535		test accuracy: 63.74%
epoch: 3	train loss: 0.86527		test accuracy: 65.66%
epoch: 4	train loss: 0.74853		test accuracy: 73.69%
epoch: 5	train loss: 0.68167		test accuracy: 73.49%
epoch: 6	train loss: 0.63863		test accuracy: 77.83%
epoch: 7	train loss: 0.61611		test accuracy: 77.69%
epoch: 8	train loss: 0.59440		test accuracy: 78.53%
epoch: 9	train loss: 0.57506		test accuracy: 74.44%
epoch: 10	train loss: 0.56404		test accuracy: 76.75%
epoch: 11	train loss: 0.55000		test accuracy: 78.51%
epoch: 12	train loss: 0.54097		test accuracy: 76.85%
epoch: 13	train loss: 0.53941		test accuracy: 65.06%
epoch: 14	train loss: 0.53058		test accuracy: 78.86%
epoch: 15	train loss: 0.51966		test accuracy: 73.51%
epoch: 16	train loss: 0.51687		test accuracy: 78.77%
epoch: 17	train loss: 0.51791		test accuracy: 79.03%
epoch: 18	train loss: 0.50758		test accuracy: 76.65%
epoch: 19	train loss: 0.50856		test accuracy: 77.80%
epoch: 20	train loss: 0.49846		test accuracy: 73.88%
epoch: 21	train loss: 0.49730		test accuracy: 74.67%
epoch: 22	train loss: 0.49156		test accuracy: 82.91%
epoch: 23	train loss: 0.48535		test accuracy: 74.61%
epoch: 24	train loss: 0.48819		test accuracy: 82.27%
epoch: 25	train loss: 0.48318		test accuracy: 80.43%
epoch: 26	train loss: 0.48100		test accuracy: 76.45%
epoch: 27	train loss: 0.47826		test accuracy: 72.00%
epoch: 28	train loss: 0.47430		test accuracy: 79.17%
epoch: 29	train loss: 0.48050		test accuracy: 76.47%
epoch: 30	train loss: 0.46825		test accuracy: 78.67%
epoch: 31	train loss: 0.46933		test accuracy: 77.58%
epoch: 32	train loss: 0.46486		test accuracy: 81.68%
epoch: 33	train loss: 0.46235		test accuracy: 81.15%
epoch: 34	train loss: 0.46172		test accuracy: 80.61%
epoch: 35	train loss: 0.46039		test accuracy: 77.63%
epoch: 36	train loss: 0.45992		test accuracy: 81.15%
epoch: 37	train loss: 0.45470		test accuracy: 79.10%
epoch: 38	train loss: 0.44921		test accuracy: 79.97%
epoch: 39	train loss: 0.45212		test accuracy: 82.23%
epoch: 40	train loss: 0.45426		test accuracy: 77.13%
epoch: 41	train loss: 0.45197		test accuracy: 76.71%
epoch: 42	train loss: 0.44261		test accuracy: 81.88%
epoch: 43	train loss: 0.44640		test accuracy: 78.79%
epoch: 44	train loss: 0.44471		test accuracy: 78.58%
epoch: 45	train loss: 0.43831		test accuracy: 78.28%
epoch: 46	train loss: 0.44188		test accuracy: 82.01%
epoch: 47	train loss: 0.43355		test accuracy: 82.88%
epoch: 48	train loss: 0.43394		test accuracy: 80.34%
epoch: 49	train loss: 0.43507		test accuracy: 76.17%
epoch: 50	train loss: 0.43322		test accuracy: 81.13%
epoch: 51	train loss: 0.42575		test accuracy: 81.11%
epoch: 52	train loss: 0.42592		test accuracy: 80.78%
epoch: 53	train loss: 0.41888		test accuracy: 81.48%
epoch: 54	train loss: 0.42275		test accuracy: 81.63%
epoch: 55	train loss: 0.42223		test accuracy: 81.46%
