Files already downloaded and verified
start training from epoch 0 ...
epoch: 0	train loss: 3.02596		test accuracy: 20.82%
epoch: 1	train loss: 1.93183		test accuracy: 30.60%
epoch: 2	train loss: 1.68092		test accuracy: 40.82%
epoch: 3	train loss: 1.51174		test accuracy: 46.51%
epoch: 4	train loss: 1.37552		test accuracy: 52.75%
epoch: 5	train loss: 1.22895		test accuracy: 57.83%
epoch: 6	train loss: 1.07956		test accuracy: 60.25%
epoch: 7	train loss: 0.96322		test accuracy: 65.18%
epoch: 8	train loss: 0.82255		test accuracy: 68.98%
epoch: 9	train loss: 0.71297		test accuracy: 72.77%
epoch: 10	train loss: 0.61839		test accuracy: 72.48%
epoch: 11	train loss: 0.55397		test accuracy: 74.41%
epoch: 12	train loss: 0.50392		test accuracy: 74.70%
epoch: 13	train loss: 0.46701		test accuracy: 78.11%
epoch: 14	train loss: 0.42938		test accuracy: 79.36%
epoch: 15	train loss: 0.40358		test accuracy: 74.78%
epoch: 16	train loss: 0.39005		test accuracy: 75.17%
epoch: 17	train loss: 0.36180		test accuracy: 77.04%
epoch: 18	train loss: 0.34560		test accuracy: 79.90%
epoch: 19	train loss: 0.33101		test accuracy: 76.42%
epoch: 20	train loss: 0.31722		test accuracy: 77.44%
epoch: 21	train loss: 0.30345		test accuracy: 76.56%
epoch: 22	train loss: 0.28860		test accuracy: 75.44%
epoch: 23	train loss: 0.29009		test accuracy: 76.37%
epoch: 24	train loss: 0.26933		test accuracy: 78.26%
epoch: 25	train loss: 0.27258		test accuracy: 78.41%
epoch: 26	train loss: 0.26113		test accuracy: 80.80%
epoch: 27	train loss: 0.25467		test accuracy: 78.18%
epoch: 28	train loss: 0.24783		test accuracy: 79.60%
epoch: 29	train loss: 0.25267		test accuracy: 76.94%
epoch: 30	train loss: 0.23907		test accuracy: 79.60%
epoch: 31	train loss: 0.23329		test accuracy: 79.98%
epoch: 32	train loss: 0.22988		test accuracy: 80.43%
epoch: 33	train loss: 0.22677		test accuracy: 80.23%
epoch: 34	train loss: 0.22638		test accuracy: 77.50%
epoch: 35	train loss: 0.22928		test accuracy: 76.61%
epoch: 36	train loss: 0.21818		test accuracy: 76.93%
epoch: 37	train loss: 0.20860		test accuracy: 78.33%
epoch: 38	train loss: 0.21198		test accuracy: 79.06%
epoch: 39	train loss: 0.21170		test accuracy: 79.84%
epoch: 40	train loss: 0.21153		test accuracy: 77.53%
epoch: 41	train loss: 0.20250		test accuracy: 78.16%
epoch: 42	train loss: 0.20374		test accuracy: 75.23%
epoch: 43	train loss: 0.20237		test accuracy: 79.08%
epoch: 44	train loss: 0.19035		test accuracy: 75.94%
epoch: 45	train loss: 0.19828		test accuracy: 78.34%
epoch: 46	train loss: 0.19802		test accuracy: 80.99%
epoch: 47	train loss: 0.17989		test accuracy: 78.16%
epoch: 48	train loss: 0.18736		test accuracy: 80.62%
epoch: 49	train loss: 0.17951		test accuracy: 81.98%
epoch: 50	train loss: 0.18391		test accuracy: 76.31%
epoch: 51	train loss: 0.18893		test accuracy: 81.29%
epoch: 52	train loss: 0.16807		test accuracy: 81.10%
epoch: 53	train loss: 0.17920		test accuracy: 73.37%
epoch: 54	train loss: 0.17185		test accuracy: 80.29%
epoch: 55	train loss: 0.17321		test accuracy: 82.17%
epoch: 56	train loss: 0.16343		test accuracy: 78.64%
epoch: 57	train loss: 0.17428		test accuracy: 77.80%
epoch: 58	train loss: 0.16562		test accuracy: 79.71%
epoch: 59	train loss: 0.16265		test accuracy: 80.60%
epoch: 60	train loss: 0.16345		test accuracy: 78.87%
epoch: 61	train loss: 0.15016		test accuracy: 80.15%
epoch: 62	train loss: 0.15576		test accuracy: 80.89%
epoch: 63	train loss: 0.15778		test accuracy: 81.42%
epoch: 64	train loss: 0.15487		test accuracy: 78.91%
epoch: 65	train loss: 0.14883		test accuracy: 80.94%
epoch: 66	train loss: 0.15036		test accuracy: 81.58%
epoch: 67	train loss: 0.14610		test accuracy: 80.06%
epoch: 68	train loss: 0.14818		test accuracy: 80.59%
epoch: 69	train loss: 0.14079		test accuracy: 80.13%
epoch: 70	train loss: 0.14593		test accuracy: 82.30%
epoch: 71	train loss: 0.13639		test accuracy: 79.82%
epoch: 72	train loss: 0.13110		test accuracy: 80.65%
epoch: 73	train loss: 0.13844		test accuracy: 80.79%
epoch: 74	train loss: 0.13891		test accuracy: 80.04%
epoch: 75	train loss: 0.13105		test accuracy: 82.86%
epoch: 76	train loss: 0.12696		test accuracy: 75.91%
epoch: 77	train loss: 0.12793		test accuracy: 82.09%
epoch: 78	train loss: 0.12831		test accuracy: 81.88%
epoch: 79	train loss: 0.11733		test accuracy: 78.32%
epoch: 80	train loss: 0.12472		test accuracy: 79.42%
epoch: 81	train loss: 0.11608		test accuracy: 82.10%
epoch: 82	train loss: 0.11620		test accuracy: 82.12%
epoch: 83	train loss: 0.11645		test accuracy: 82.04%
epoch: 84	train loss: 0.11446		test accuracy: 80.87%
epoch: 85	train loss: 0.11194		test accuracy: 82.54%
epoch: 86	train loss: 0.10625		test accuracy: 82.61%
epoch: 87	train loss: 0.11819		test accuracy: 82.32%
epoch: 88	train loss: 0.10522		test accuracy: 80.16%
epoch: 89	train loss: 0.10226		test accuracy: 81.20%
epoch: 90	train loss: 0.10241		test accuracy: 79.89%
